,BATSMEN,R,M,B,4s,6s,SR
751,NVOjha?Çá,2,15,3,0,0,66.66
752,KLRahul,17,15,10,1,1,170
753,KVSharma,11,12,7,0,1,157.14
755,MVijay,24,20,18,4,1,133.33
756,MVohra,20,28,15,2,1,133.33
757,WPSaha?Çá,5,20,10,0,0,50
758,GJMaxwell,11,5,6,1,1,183.33
759,DAMiller,89,64,44,2,9,202.27
760,GJBailey(c),6,17,11,0,0,54.54
761,GurkeeratSingh,3,6,5,0,0,60
762,ARPatel,15,26,11,2,0,136.36
763,BEHendricks,0,5,0,0,0,-
764,DRSmith,18,32,24,2,1,75
765,BBMcCullum,11,21,21,1,0,52.38
766,SKRaina,11,19,8,1,0,137.5
767,FduPlessis,29,33,23,3,0,126.08
768,MSDhoni(c)?Çá,27,41,24,3,1,112.5
769,DJBravo,8,10,8,0,1,100
770,PNegi,5,16,8,0,0,62.5
771,RAJadeja,3,10,4,0,0,75
773,QdeKock?Çá,3,10,7,0,0,42.85
774,SSIyer,70,68,49,10,1,142.85
775,JPDuminy(c),6,8,7,1,0,85.71
776,YuvrajSingh,32,33,28,4,1,114.28
777,JAMorkel,8,8,8,0,1,100
778,KMJadhav,1,5,1,0,0,100
779,WPSaha?Çá,31,12,12,5,1,258.33
780,MVohra,11,21,6,0,1,183.33
781,GJMaxwell,10,10,10,1,0,100
782,DAMiller,14,7,4,0,2,350
783,GJBailey(c),13,19,9,1,0,144.44
784,ARPatel,20,20,15,1,1,133.33
785,GurkeeratSingh,2,3,3,0,0,66.66
786,RDhawan,1,2,1,0,0,100
788,CHGayle,17,26,14,1,1,121.42
789,VKohli(c),19,16,9,2,1,211.11
790,ABdeVilliers,10,18,9,1,0,111.11
791,MandeepSingh,20,17,14,2,0,142.85
792,KDKarthik?Çá,2,5,4,0,0,50
793,SNKhan,4,7,6,0,0,66.66
794,DWiese,4,9,5,0,0,80
795,HVPatel,0,1,0,0,0,-
796,LMPSimmons,14,25,16,1,1,87.5
797,PAPatel?Çá,21,17,14,3,0,150
798,RGSharma(c),30,40,21,5,0,142.85
799,ATRayudu,2,5,3,0,0,66.66
800,KAPollard,33,70,38,1,1,86.84
801,HHPandya,61,45,31,8,2,196.77
803,RVUthappa?Çá,25,26,20,3,1,125
804,GGambhir(c),38,52,29,5,0,131.03
