,POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,NEWPOS
652,53,Chris  Gayle,9,9,0,196,46,21.77,184,106.52,0,0,18,12,2.0
653,54,Yogesh  Takawale,5,5,0,104,45,20.8,91,114.28,0,0,17,1,2.0
654,55,Lokesh  Rahul,11,8,0,166,46,20.75,164,101.21,0,0,12,3,2.0
655,56,Parthiv  Patel,12,12,2,205,57,20.5,185,110.81,0,1,30,1,2.0
656,57,Shane  Watson,13,13,1,240,51,20.0,196,122.44,0,2,19,14,2.0
657,58,Ross  Taylor,4,4,1,59,43,19.66,59,100.0,0,0,6,0,2.0
658,59,Murali  Vijay,11,11,0,207,52,18.81,192,107.81,0,1,20,5,2.0
659,60,Mitchell  Johnson,14,8,5,56,16,18.66,50,112.0,0,0,4,3,2.0
660,61,Rahul  Shukla,3,3,2,18,14,18.0,21,85.71,0,0,2,0,2.0
661,62,Mithun  Manhas,12,5,3,35,13,17.5,23,152.17,0,0,3,1,2.0
662,63,CM  Gautam,9,9,2,121,33,17.28,111,109.0,0,0,13,5,2.0
663,64,Ankit  Sharma,3,2,0,34,30,17.0,30,113.33,0,0,4,1,2.0
664,65,Rahul  Tewatia,3,1,0,16,16,16.0,13,123.07,0,0,0,1,2.0
665,66,Jason  Holder,1,1,0,16,16,16.0,12,133.33,0,0,2,1,2.0
666,67,Aditya  Tare,15,12,4,126,24,15.75,98,128.57,0,0,16,3,3.0
667,68,Darren  Sammy,10,9,2,108,29,15.42,91,118.68,0,0,4,8,3.0
668,69,Ravichandran  Ashwin,16,6,3,45,14,15.0,45,100.0,0,0,4,0,3.0
669,70,Albie  Morkel,7,5,2,45,16,15.0,41,109.75,0,0,1,3,3.0
670,71,Vijay  Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1,3.0
671,72,Mayank  Agarwal,8,8,0,115,31,14.37,91,126.37,0,0,12,3,3.0
672,73,Abhishek  Nayar,5,4,1,43,23,14.33,47,91.48,0,0,5,1,3.0
673,74,Mitchell  Starc,14,9,3,85,29,14.16,84,101.19,0,0,9,0,3.0
674,75,Jimmy  Neesham,4,3,0,42,22,14.0,46,91.3,0,0,3,1,3.0
675,76,Rajat  Bhatia,12,7,2,67,23,13.4,53,126.41,0,0,4,3,3.0
676,77,Ben  Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0,3.0
677,78,Ryan  ten Doeschate,10,7,3,52,25,13.0,33,157.57,0,0,3,4,3.0
678,79,Kevon  Cooper,5,5,2,39,32,13.0,26,150.0,0,0,2,3,3.0
679,80,Rilee  Rossouw,3,3,0,39,24,13.0,41,95.12,0,0,2,2,3.0
680,81,Ravi  Rampaul,2,1,0,13,13,13.0,13,100.0,0,0,0,1,3.0
681,82,Stuart  Binny,13,12,2,123,48,12.3,121,101.65,0,0,4,5,3.0
682,83,Shreyas  Gopal,4,1,0,11,11,11.0,10,110.0,0,0,1,0,3.0
683,84,Karn  Sharma,14,8,4,42,17,10.5,29,144.82,0,0,1,3,3.0
684,85,Axar  Patel,17,8,2,62,42,10.33,60,103.33,0,0,6,1,3.0
685,86,Piyush  Chawla,11,5,2,31,17,10.33,19,163.15,0,0,4,1,3.0
686,87,Laxmi  Ratan Shukla,5,3,0,31,21,10.33,38,81.57,0,0,2,1,3.0
687,88,Mandeep  Singh,3,3,0,24,21,8.0,26,92.3,0,0,2,0,3.0
688,89,Nic  Maddinson,2,2,0,16,12,8.0,14,114.28,0,0,3,0,3.0
689,90,Zaheer  Khan,6,4,3,8,7,8.0,7,114.28,0,0,0,1,3.0
690,91,Ben  Cutting,1,1,0,8,8,8.0,6,133.33,0,0,0,1,3.0
691,92,Dale  Steyn,14,4,1,22,12,7.33,26,84.61,0,0,1,0,3.0
692,93,Harshal  Patel,3,3,1,13,6,6.5,7,185.71,0,0,1,1,3.0
693,94,Harbhajan  Singh,14,7,2,28,10,5.6,25,112.0,0,0,2,2,3.0
694,95,Sunil  Narine,16,5,3,10,6,5.0,14,71.42,0,0,0,0,3.0
695,96,Shivam  Sharma,4,2,1,5,4,5.0,3,166.66,0,0,1,0,3.0
696,97,Moises  Henriques,4,2,0,9,9,4.5,14,64.28,0,0,1,0,3.0
697,98,Imran  Tahir,6,2,0,8,4,4.0,10,80.0,0,0,2,0,3.0
698,99,Ashok  Dinda,9,3,2,4,2,4.0,12,33.33,0,0,0,0,3.0
699,100,Amit  Mishra,10,2,1,4,4,4.0,7,57.14,0,0,0,0,3.0
700,1,Albie  Morkel,4,3,2,86,73,86.0,65,132.3,0,1,9,2,1.0
701,2,Ajinkya  Rahane,14,13,2,540,91,49.09,413,130.75,0,4,53,13,1.0
702,3,Jagadeesha  Suchith,13,6,5,48,34,48.0,32,150.0,0,0,4,2,1.0
