,Unnamed: 0,0s,4s,6s,Bowling,Econ,M,NB,O,R,Rajasthan Royals Team,Unnamed: 0.1,W,WD,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
631,631,6.0,4.0,2.0,JP Faulkner,11.25,0.0,0.0,4.0,45.0,,3,1.0,4.0,10.0,0,0,-3,0.0,7.0
632,632,11.0,5.0,1.0,SR Watson,9.5,0.0,0.0,4.0,38.0,,4,2.0,5.0,20.0,0,0,-1,0.0,19.0
633,633,2.0,2.0,0.0,STR Binny,10.0,0.0,0.0,1.0,10.0,,5,0.0,0.0,0.0,0,0,-2,0.0,-2.0
634,634,7.0,3.0,1.0,MA Starc,8.75,0.0,0.0,4.0,35.0,,0,0.0,1.0,0.0,0,0,0,0.0,0.0
635,635,3.0,4.0,2.0,AB Dinda,13.0,0.0,0.0,3.0,39.0,,1,0.0,1.0,0.0,0,0,-3,0.0,-3.0
636,636,11.0,4.0,1.0,HV Patel,7.5,0.0,0.0,4.0,30.0,,2,2.0,0.0,20.0,0,0,0,0.0,20.0
637,637,2.0,3.0,1.0,D Wiese,9.75,0.0,0.0,4.0,39.0,,3,0.0,0.0,0.0,0,0,-1,0.0,-1.0
638,638,4.0,0.0,1.0,CH Gayle,7.5,0.0,0.0,2.0,15.0,,4,0.0,1.0,0.0,0,0,0,0.0,0.0
639,639,7.0,0.0,3.0,YS Chahal,8.66,0.0,0.0,3.0,26.0,,5,2.0,0.0,20.0,0,0,0,0.0,20.0
640,640,4.0,0.0,0.0,J Yadav,2.0,0.0,0.0,1.0,2.0,,0,0.0,0.0,0.0,0,0,3,0.0,3.0
641,641,1.0,0.0,0.0,Z Khan,0.0,0.0,0.0,0.1,0.0,,1,0.0,0.0,0.0,0,0,3,0.0,3.0
642,642,12.0,1.0,0.0,SL Malinga,4.25,0.0,0.0,4.0,17.0,,0,2.0,1.0,20.0,0,0,2,0.0,22.0
643,643,14.0,1.0,0.0,MJ McClenaghan,4.0,0.0,0.0,4.0,16.0,,1,3.0,1.0,30.0,0,0,2,0.0,32.0
644,644,6.0,3.0,0.0,R Vinay Kumar,7.0,0.0,0.0,3.0,21.0,,2,0.0,0.0,0.0,0,0,0,0.0,0.0
645,645,8.0,1.0,0.0,J Suchith,4.66,0.0,0.0,3.0,14.0,,3,2.0,0.0,20.0,0,0,2,0.0,22.0
646,646,2.0,1.0,0.0,HH Pandya,11.0,0.0,0.0,1.0,11.0,,4,0.0,2.0,0.0,0,0,-3,0.0,-3.0
647,647,6.0,0.0,1.0,Harbhajan Singh,6.0,0.0,0.0,3.0,18.0,,5,1.0,0.0,10.0,0,0,0,0.0,10.0
648,648,3.0,1.0,0.0,KA Pollard,7.0,0.0,0.0,2.0,14.0,,6,1.0,0.0,10.0,0,0,0,0.0,10.0
649,649,5.0,4.0,0.0,DW Steyn,9.0,0.0,0.0,3.0,27.0,,0,0.0,1.0,0.0,0,0,-1,0.0,-1.0
650,650,10.0,2.0,0.0,B Kumar,5.33,0.0,0.0,3.0,16.0,,1,0.0,1.0,0.0,0,0,1,0.0,1.0
651,651,7.0,2.0,0.0,P Kumar,6.5,0.0,0.0,2.0,13.0,,2,0.0,2.0,0.0,0,0,0,0.0,0.0
652,652,8.0,2.0,0.0,MC Henriques,5.66,0.0,0.0,3.0,17.0,,3,0.0,1.0,0.0,0,0,1,0.0,1.0
653,653,4.0,3.0,3.0,KV Sharma,13.41,0.0,0.0,2.5,38.0,,4,1.0,0.0,10.0,0,0,-3,0.0,7.0
654,654,9.0,1.0,2.0,R Ashwin,7.33,0.0,0.0,3.0,22.0,,0,0.0,0.0,0.0,0,0,0,0.0,0.0
655,655,15.0,3.0,1.0,A Nehra,7.0,0.0,1.0,4.0,28.0,,1,1.0,2.0,10.0,0,0,0,0.0,10.0
656,656,3.0,3.0,3.0,P Negi,11.5,0.0,0.0,4.0,46.0,,2,0.0,0.0,0.0,0,0,-3,0.0,-3.0
657,657,5.0,0.0,2.0,RA Jadeja,9.0,0.0,0.0,2.0,18.0,,3,1.0,0.0,10.0,0,0,-1,0.0,9.0
